date,hour,PlayStation5,PlayStation5 DE,XboxSX,XboxSS,Switchグレー,Switchネオン,SwitchLiteターコイズ
2021年08月12日,08時,"84,000円","71,500円","66,500円","36,000円","33,000円","32,000円","18,700円"
2021年08月12日,09時,"84,000円","71,500円","66,500円","36,000円","33,000円","32,000円","18,700円"
2021年08月12日,10時,"84,000円","71,500円","66,500円","36,000円","33,000円","32,000円","18,700円"
2021年08月12日,11時,"84,000円","71,500円","66,500円","36,000円","33,000円","32,000円","18,700円"
2021年08月12日,12時,"84,000円","71,500円","66,500円","36,000円","33,000円","32,000円","18,700円"
2021年08月12日,13時,"84,000円","71,500円","66,500円","36,000円","33,000円","32,000円","18,700円"
2021年08月12日,14時,"84,000円","71,500円","66,500円","36,000円","33,000円","32,000円","18,700円"
2021年08月12日,15時,"84,000円","71,500円","66,500円","36,000円","33,000円","32,000円","18,700円"
2021年08月12日,16時,"84,000円","71,500円","66,500円","36,000円","33,000円","32,000円","18,700円"
2021年08月12日,17時,"84,000円","71,500円","66,500円","36,000円","33,000円","32,000円","18,700円"
2021年08月12日,18時,"84,000円","71,500円","66,500円","36,000円","33,000円","32,000円","18,700円"
2021年08月12日,19時,"83,000円","71,000円","66,500円","36,000円","32,700円","31,800円","18,700円"
2021年08月12日,20時,"83,000円","71,000円","66,500円","36,000円","32,700円","31,800円","18,700円"
2021年08月12日,21時,"83,000円","71,000円","66,500円","36,000円","32,700円","31,800円","18,700円"
2021年08月12日,22時,"83,000円","71,000円","66,500円","36,000円","32,700円","31,800円","18,700円"
2021年08月12日,23時,"83,000円","71,000円","66,500円","36,000円","32,700円","31,800円","18,700円"
2021年08月13日,00時,"83,000円","71,000円","66,500円","36,000円","32,700円","31,800円","18,700円"
2021年08月13日,01時,"83,000円","71,000円","66,500円","36,000円","32,700円","31,800円","18,700円"
2021年08月13日,02時,"83,000円","71,000円","66,500円","36,000円","32,700円","31,800円","18,700円"
2021年08月13日,03時,"83,500円","71,500円","66,500円","36,000円","32,800円","32,000円","18,700円"
2021年08月13日,04時,"83,500円","71,500円","66,500円","36,000円","32,800円","32,000円","18,700円"
2021年08月13日,05時,"83,500円","71,500円","66,500円","36,000円","32,800円","32,000円","18,700円"
2021年08月13日,06時,"83,500円","71,500円","66,500円","36,000円","32,800円","32,000円","18,700円"
2021年08月13日,07時,"83,500円","71,500円","66,500円","36,000円","32,800円","32,000円","18,700円"
2021年08月13日,08時,"83,500円","71,500円","66,500円","36,000円","32,800円","32,000円","18,700円"
2021年08月13日,09時,"83,500円","71,500円","66,500円","36,000円","32,800円","32,000円","18,700円"
2021年08月13日,10時,"83,500円","71,500円","66,500円","36,000円","32,800円","32,000円","18,700円"
2021年08月13日,11時,"83,500円","71,500円","66,500円","36,000円","32,800円","32,000円","18,700円"
2021年08月13日,12時,"83,500円","71,500円","66,500円","36,000円","32,800円","32,000円","18,700円"
2021年08月13日,13時,"83,500円","71,500円","66,500円","36,000円","32,800円","32,000円","18,700円"
2021年08月13日,14時,"83,500円","71,500円","66,500円","36,000円","32,800円","32,000円","18,700円"
2021年08月13日,15時,"84,000円","71,500円","66,500円","36,000円","32,800円","32,000円","18,700円"
2021年08月13日,16時,"84,000円","71,500円","66,500円","36,000円","32,800円","32,000円","18,700円"
2021年08月13日,17時,"84,000円","71,500円","66,500円","36,000円","32,800円","32,000円","19,000円"
2021年08月13日,18時,"84,000円","71,500円","66,500円","36,000円","32,800円","32,000円","19,000円"
2021年08月13日,19時,"84,000円","71,500円","66,500円","36,000円","32,800円","32,000円","19,000円"
2021年08月13日,20時,"84,000円","71,500円","66,500円","36,000円","32,800円","32,000円","19,000円"
2021年08月13日,21時,"84,000円","71,500円","66,500円","36,000円","32,800円","32,000円","19,000円"
2021年08月13日,22時,"84,000円","71,500円","66,500円","36,000円","32,800円","32,000円","19,000円"
2021年08月13日,23時,"84,000円","71,500円","66,500円","36,000円","32,800円","32,000円","19,000円"
2021年08月14日,00時,"84,000円","71,500円","66,500円","36,000円","32,800円","32,000円","19,000円"
2021年08月14日,01時,"84,000円","71,500円","66,500円","36,000円","32,800円","32,000円","19,000円"
2021年08月14日,02時,"84,000円","71,500円","66,500円","36,000円","32,800円","32,000円","19,000円"
2021年08月14日,03時,"84,000円","71,500円","66,500円","36,000円","32,800円","32,000円","19,000円"
2021年08月14日,04時,"84,000円","71,500円","66,500円","36,000円","32,800円","32,000円","19,000円"
2021年08月14日,05時,"84,000円","71,500円","66,500円","36,000円","32,800円","32,000円","19,000円"
2021年08月14日,06時,"84,000円","71,500円","66,500円","36,000円","32,800円","32,000円","19,000円"
2021年08月14日,07時,"84,000円","71,500円","66,500円","36,000円","32,800円","32,000円","19,000円"
2021年08月14日,08時,"84,000円","71,500円","66,500円","36,000円","32,800円","32,000円","19,000円"
2021年08月14日,09時,"84,000円","71,500円","66,500円","36,000円","32,800円","32,000円","19,000円"
2021年08月14日,10時,"84,000円","71,500円","66,500円","36,000円","32,800円","32,000円","19,000円"
2021年08月14日,11時,"84,000円","71,500円","66,500円","36,000円","32,800円","32,000円","19,000円"
2021年08月14日,12時,"84,000円","71,500円","66,500円","36,000円","32,800円","32,000円","19,000円"
2021年08月14日,13時,"84,000円","71,500円","66,500円","36,000円","32,800円","32,000円","19,000円"
2021年08月14日,14時,"84,000円","71,500円","66,500円","36,000円","32,800円","32,000円","19,000円"
2021年08月14日,15時,"84,000円","71,500円","66,500円","36,000円","32,800円","32,000円","19,000円"
2021年08月14日,16時,"84,000円","71,500円","66,500円","36,000円","32,900円","32,000円","19,100円"
2021年08月14日,17時,"84,000円","71,500円","66,500円","36,000円","32,900円","32,000円","19,100円"
2021年08月14日,18時,"84,100円","71,500円","66,500円","36,000円","32,900円","32,000円","19,100円"
